c,"maxiter, (maxiter +1)* [itr, n, m, tri, tet, K5, D, E]"
1.9700000000000009,"[6, 0, 1500, 57362, 74143, 3679, 13, 5246, 5118, 1, 1500, 52244, 68446, 3094, 7, 953, 946, 2, 1500, 51298, 67402, 2995, 6, 242, 240, 3, 1500, 51058, 67131, 2964, 6, 47, 47, 4, 1500, 51011, 67076, 2956, 6, 7, 7, 5, 1500, 51004, 67069, 2956, 6, 1, 1, 6, 1500, 51003, 67068, 2956, 6, 0, 0]"
1.9800000000000009,"[7, 0, 1500, 57538, 74711, 3661, 5, 5030, 4915, 1, 1500, 52623, 69193, 3056, 3, 935, 930, 2, 1500, 51693, 68147, 2939, 2, 225, 225, 3, 1500, 51468, 67895, 2912, 2, 51, 51, 4, 1500, 51417, 67836, 2904, 2, 12, 12, 5, 1500, 51405, 67823, 2903, 2, 6, 6, 6, 1500, 51399, 67817, 2903, 2, 1, 1, 7, 1500, 51398, 67816, 2903, 2, 0, 0]"
1.9900000000000009,"[6, 0, 1500, 57332, 74666, 3877, 2, 5236, 5112, 1, 1500, 52220, 68925, 3248, 2, 999, 996, 2, 1500, 51224, 67827, 3145, 1, 237, 237, 3, 1500, 50987, 67571, 3126, 1, 64, 64, 4, 1500, 50923, 67503, 3122, 1, 18, 18, 5, 1500, 50905, 67482, 3119, 1, 3, 3, 6, 1500, 50902, 67479, 3119, 1, 0, 0]"
2.000000000000001,"[6, 0, 1500, 57819, 75942, 3737, 5, 4940, 4833, 1, 1500, 52986, 70512, 3139, 4, 923, 919, 2, 1500, 52067, 69493, 3039, 4, 202, 201, 3, 1500, 51866, 69270, 3017, 4, 40, 40, 4, 1500, 51826, 69225, 3012, 4, 11, 11, 5, 1500, 51815, 69214, 3012, 4, 2, 2, 6, 1500, 51813, 69211, 3011, 4, 0, 0]"
2.0100000000000007,"[9, 0, 1500, 58233, 77973, 3997, 7, 4677, 4565, 1, 1500, 53668, 72822, 3409, 5, 773, 771, 2, 1500, 52897, 71953, 3311, 5, 164, 164, 3, 1500, 52733, 71773, 3294, 4, 35, 35, 4, 1500, 52698, 71736, 3292, 4, 7, 7, 5, 1500, 52691, 71729, 3292, 4, 4, 4, 6, 1500, 52687, 71725, 3292, 4, 5, 5, 7, 1500, 52682, 71720, 3292, 4, 2, 2, 8, 1500, 52680, 71718, 3292, 4, 1, 1, 9, 1500, 52679, 71717, 3292, 4, 0, 0]"
2.0200000000000005,"[5, 0, 1500, 58826, 80543, 4346, 8, 4497, 4403, 1, 1500, 54423, 75570, 3775, 7, 734, 732, 2, 1500, 53691, 74759, 3696, 7, 154, 154, 3, 1500, 53537, 74587, 3678, 7, 32, 32, 4, 1500, 53505, 74553, 3676, 7, 7, 7, 5, 1500, 53498, 74546, 3676, 7, 0, 0]"
2.0300000000000002,"[5, 0, 1500, 59061, 81762, 4437, 11, 4372, 4275, 1, 1500, 54786, 76894, 3843, 10, 689, 686, 2, 1500, 54100, 76133, 3768, 10, 141, 140, 3, 1500, 53960, 75977, 3752, 10, 27, 27, 4, 1500, 53933, 75945, 3747, 10, 5, 5, 5, 1500, 53928, 75940, 3747, 10, 0, 0]"
2.04,"[5, 0, 1500, 59445, 82742, 4498, 4, 4283, 4209, 1, 1500, 55236, 77957, 3921, 3, 643, 640, 2, 1500, 54596, 77227, 3831, 3, 107, 107, 3, 1500, 54489, 77102, 3813, 3, 21, 21, 4, 1500, 54468, 77078, 3810, 3, 3, 3, 5, 1500, 54465, 77075, 3810, 3, 0, 0]"
2.05,"[6, 0, 1500, 59325, 82090, 4490, 13, 4393, 4319, 1, 1500, 55006, 77232, 3949, 11, 715, 712, 2, 1500, 54294, 76422, 3850, 10, 148, 148, 3, 1500, 54146, 76262, 3838, 10, 36, 36, 4, 1500, 54110, 76222, 3834, 10, 6, 6, 5, 1500, 54104, 76216, 3834, 10, 1, 1, 6, 1500, 54103, 76215, 3834, 10, 0, 0]"
2.0599999999999996,"[6, 0, 1500, 59828, 84857, 4832, 19, 4106, 4033, 1, 1500, 55795, 80274, 4280, 17, 581, 581, 2, 1500, 55214, 79617, 4203, 16, 99, 99, 3, 1500, 55115, 79512, 4197, 16, 20, 20, 4, 1500, 55095, 79489, 4194, 16, 4, 4, 5, 1500, 55091, 79484, 4193, 16, 1, 1, 6, 1500, 55090, 79481, 4191, 16, 0, 0]"
2.0699999999999994,"[5, 0, 1500, 59616, 83598, 4698, 11, 4217, 4146, 1, 1500, 55470, 78879, 4122, 8, 631, 628, 2, 1500, 54842, 78182, 4053, 8, 122, 122, 3, 1500, 54720, 78043, 4036, 8, 30, 30, 4, 1500, 54690, 78010, 4033, 8, 3, 3, 5, 1500, 54687, 78005, 4031, 8, 0, 0]"
2.079999999999999,"[5, 0, 1500, 60285, 86671, 5011, 16, 3974, 3914, 1, 1500, 56371, 82212, 4462, 12, 573, 569, 2, 1500, 55802, 81556, 4375, 12, 76, 76, 3, 1500, 55726, 81475, 4370, 12, 8, 8, 4, 1500, 55718, 81465, 4368, 12, 2, 2, 5, 1500, 55716, 81462, 4367, 12, 0, 0]"
2.089999999999999,"[6, 0, 1500, 60572, 87575, 5122, 15, 3957, 3893, 1, 1500, 56679, 83099, 4537, 13, 544, 543, 2, 1500, 56136, 82485, 4466, 13, 82, 82, 3, 1500, 56054, 82396, 4459, 13, 16, 16, 4, 1500, 56038, 82377, 4456, 13, 4, 4, 5, 1500, 56034, 82373, 4456, 13, 1, 1, 6, 1500, 56033, 82372, 4456, 13, 0, 0]"
2.0999999999999988,"[6, 0, 1500, 60723, 88292, 5130, 17, 3879, 3826, 1, 1500, 56897, 83923, 4584, 14, 496, 495, 2, 1500, 56402, 83374, 4529, 13, 68, 68, 3, 1500, 56334, 83298, 4521, 13, 12, 12, 4, 1500, 56322, 83285, 4520, 13, 2, 2, 5, 1500, 56320, 83283, 4520, 13, 1, 1, 6, 1500, 56319, 83280, 4518, 13, 0, 0]"
2.1099999999999985,"[5, 0, 1500, 61040, 90034, 5339, 7, 3699, 3647, 1, 1500, 57393, 85728, 4679, 6, 431, 429, 2, 1500, 56964, 85238, 4618, 6, 61, 61, 3, 1500, 56903, 85169, 4610, 6, 5, 5, 4, 1500, 56898, 85164, 4610, 6, 1, 1, 5, 1500, 56897, 85163, 4610, 6, 0, 0]"
2.1199999999999983,"[4, 0, 1500, 61456, 91805, 5676, 16, 3598, 3562, 1, 1500, 57894, 87674, 5103, 12, 419, 419, 2, 1500, 57475, 87196, 5044, 12, 63, 63, 3, 1500, 57412, 87117, 5028, 12, 5, 5, 4, 1500, 57407, 87112, 5028, 12, 0, 0]"
2.129999999999998,"[5, 0, 1500, 61838, 93125, 5746, 16, 3453, 3420, 1, 1500, 58418, 89101, 5139, 13, 427, 426, 2, 1500, 57992, 88616, 5080, 13, 69, 69, 3, 1500, 57923, 88541, 5074, 13, 8, 8, 4, 1500, 57915, 88531, 5072, 13, 1, 1, 5, 1500, 57914, 88530, 5072, 13, 0, 0]"
2.139999999999998,"[4, 0, 1500, 61697, 92478, 5629, 23, 3547, 3498, 1, 1500, 58199, 88454, 5100, 20, 393, 392, 2, 1500, 57807, 87993, 5031, 20, 52, 52, 3, 1500, 57755, 87926, 5015, 19, 10, 10, 4, 1500, 57745, 87915, 5014, 19, 0, 0]"
2.1499999999999977,"[4, 0, 1500, 62515, 96469, 6189, 19, 3248, 3206, 1, 1500, 59309, 92727, 5649, 15, 372, 372, 2, 1500, 58937, 92290, 5584, 15, 44, 44, 3, 1500, 58893, 92232, 5570, 15, 2, 2, 4, 1500, 58891, 92230, 5570, 15, 0, 0]"
2.1599999999999975,"[4, 0, 1500, 62324, 95613, 6174, 14, 3321, 3271, 1, 1500, 59053, 91775, 5606, 13, 365, 365, 2, 1500, 58688, 91342, 5538, 13, 46, 46, 3, 1500, 58642, 91289, 5531, 13, 3, 3, 4, 1500, 58639, 91285, 5530, 13, 0, 0]"
2.1699999999999973,"[5, 0, 1500, 62877, 98338, 6459, 21, 3147, 3104, 1, 1500, 59773, 94694, 5914, 16, 341, 341, 2, 1500, 59432, 94295, 5856, 16, 46, 46, 3, 1500, 59386, 94240, 5847, 16, 8, 8, 4, 1500, 59378, 94232, 5847, 16, 1, 1, 5, 1500, 59377, 94231, 5847, 16, 0, 0]"
2.179999999999997,"[4, 0, 1500, 63353, 100080, 6632, 27, 3047, 3003, 1, 1500, 60350, 96570, 6124, 26, 305, 305, 2, 1500, 60045, 96208, 6067, 26, 39, 39, 3, 1500, 60006, 96168, 6066, 26, 8, 8, 4, 1500, 59998, 96159, 6065, 26, 0, 0]"
2.189999999999997,"[4, 0, 1500, 63619, 101532, 6871, 18, 2922, 2891, 1, 1500, 60728, 98138, 6366, 16, 273, 273, 2, 1500, 60455, 97800, 6301, 16, 24, 24, 3, 1500, 60431, 97769, 6294, 16, 2, 2, 4, 1500, 60429, 97765, 6292, 16, 0, 0]"
2.1999999999999966,"[5, 0, 1500, 63943, 103393, 7175, 27, 2797, 2768, 1, 1500, 61175, 100094, 6640, 23, 278, 278, 2, 1500, 60897, 99769, 6593, 23, 39, 39, 3, 1500, 60858, 99719, 6582, 23, 6, 6, 4, 1500, 60852, 99711, 6580, 23, 1, 1, 5, 1500, 60851, 99710, 6580, 23, 0, 0]"
2.2099999999999964,"[4, 0, 1500, 64177, 104211, 7231, 28, 2836, 2809, 1, 1500, 61368, 100886, 6712, 25, 259, 259, 2, 1500, 61109, 100575, 6657, 22, 38, 38, 3, 1500, 61071, 100532, 6651, 21, 3, 3, 4, 1500, 61068, 100529, 6651, 21, 0, 0]"
2.219999999999996,"[4, 0, 1500, 64661, 106579, 7594, 27, 2653, 2625, 1, 1500, 62036, 103430, 7068, 25, 241, 241, 2, 1500, 61795, 103153, 7032, 25, 23, 23, 3, 1500, 61772, 103126, 7028, 25, 1, 1, 4, 1500, 61771, 103125, 7028, 25, 0, 0]"
2.229999999999996,"[4, 0, 1500, 65028, 108482, 7788, 23, 2572, 2553, 1, 1500, 62475, 105424, 7282, 22, 212, 212, 2, 1500, 62263, 105176, 7246, 22, 19, 19, 3, 1500, 62244, 105154, 7243, 22, 2, 2, 4, 1500, 62242, 105151, 7242, 22, 0, 0]"
2.2399999999999958,"[4, 0, 1500, 65152, 108639, 7844, 21, 2518, 2495, 1, 1500, 62657, 105634, 7332, 19, 217, 217, 2, 1500, 62440, 105361, 7276, 19, 25, 25, 3, 1500, 62415, 105332, 7272, 19, 3, 3, 4, 1500, 62412, 105327, 7270, 19, 0, 0]"
2.2499999999999956,"[4, 0, 1500, 64742, 107868, 7839, 30, 2581, 2564, 1, 1500, 62178, 104799, 7326, 22, 220, 220, 2, 1500, 61958, 104531, 7278, 22, 27, 27, 3, 1500, 61931, 104497, 7270, 21, 3, 3, 4, 1500, 61928, 104494, 7270, 21, 0, 0]"
2.2599999999999953,"[4, 0, 1500, 65993, 113669, 8824, 22, 2350, 2340, 1, 1500, 63653, 110818, 8308, 17, 183, 183, 2, 1500, 63470, 110598, 8271, 17, 16, 16, 3, 1500, 63454, 110578, 8266, 16, 1, 1, 4, 1500, 63453, 110577, 8266, 16, 0, 0]"
2.269999999999995,"[3, 0, 1500, 65805, 112237, 8223, 22, 2315, 2300, 1, 1500, 63505, 109440, 7721, 17, 172, 172, 2, 1500, 63333, 109238, 7691, 17, 17, 17, 3, 1500, 63316, 109218, 7688, 17, 0, 0]"
2.279999999999995,"[4, 0, 1500, 65855, 112625, 8274, 22, 2448, 2434, 1, 1500, 63421, 109659, 7740, 20, 189, 189, 2, 1500, 63232, 109443, 7713, 20, 18, 18, 3, 1500, 63214, 109424, 7712, 20, 1, 1, 4, 1500, 63213, 109423, 7712, 20, 0, 0]"
2.2899999999999947,"[3, 0, 1500, 66473, 115579, 8735, 29, 2157, 2146, 1, 1500, 64327, 112975, 8274, 26, 150, 150, 2, 1500, 64177, 112804, 8253, 26, 9, 9, 3, 1500, 64168, 112788, 8246, 26, 0, 0]"
2.2999999999999945,"[4, 0, 1500, 66541, 116325, 9010, 26, 2253, 2230, 1, 1500, 64311, 113569, 8481, 23, 155, 155, 2, 1500, 64156, 113371, 8438, 23, 9, 9, 3, 1500, 64147, 113362, 8438, 23, 3, 3, 4, 1500, 64144, 113359, 8438, 23, 0, 0]"
2.3099999999999943,"[5, 0, 1500, 66898, 118243, 9378, 33, 2121, 2097, 1, 1500, 64801, 115669, 8898, 30, 142, 142, 2, 1500, 64659, 115489, 8859, 29, 11, 11, 3, 1500, 64648, 115476, 8857, 29, 2, 2, 4, 1500, 64646, 115474, 8857, 29, 1, 1, 5, 1500, 64645, 115473, 8857, 29, 0, 0]"
2.319999999999994,"[3, 0, 1500, 67594, 122437, 10284, 56, 1990, 1982, 1, 1500, 65612, 119998, 9821, 50, 121, 121, 2, 1500, 65491, 119841, 9784, 49, 6, 6, 3, 1500, 65485, 119835, 9784, 49, 0, 0]"
2.329999999999994,"[3, 0, 1500, 67555, 122273, 10131, 34, 1990, 1981, 1, 1500, 65574, 119844, 9683, 34, 114, 114, 2, 1500, 65460, 119709, 9662, 34, 6, 6, 3, 1500, 65454, 119703, 9662, 34, 0, 0]"
2.3399999999999936,"[4, 0, 1500, 67738, 123022, 10200, 42, 1965, 1951, 1, 1500, 65787, 120624, 9752, 41, 130, 130, 2, 1500, 65657, 120458, 9715, 40, 9, 9, 3, 1500, 65648, 120449, 9715, 40, 1, 1, 4, 1500, 65647, 120448, 9715, 40, 0, 0]"
2.3499999999999934,"[4, 0, 1500, 67710, 122892, 9893, 30, 1926, 1919, 1, 1500, 65791, 120525, 9440, 25, 93, 93, 2, 1500, 65698, 120411, 9419, 25, 8, 8, 3, 1500, 65690, 120398, 9414, 25, 1, 1, 4, 1500, 65689, 120397, 9414, 25, 0, 0]"
2.359999999999993,"[3, 0, 1500, 68619, 127281, 10677, 38, 1763, 1760, 1, 1500, 66859, 125100, 10253, 35, 103, 103, 2, 1500, 66756, 124983, 10239, 35, 9, 9, 3, 1500, 66747, 124968, 10232, 34, 0, 0]"
2.369999999999993,"[3, 0, 1500, 68483, 126409, 10562, 41, 1897, 1880, 1, 1500, 66603, 124071, 10100, 37, 138, 138, 2, 1500, 66465, 123899, 10066, 37, 9, 9, 3, 1500, 66456, 123887, 10063, 37, 0, 0]"
2.379999999999993,"[3, 0, 1500, 69059, 129859, 11243, 41, 1703, 1698, 1, 1500, 67361, 127772, 10851, 38, 76, 76, 2, 1500, 67285, 127684, 10839, 38, 5, 5, 3, 1500, 67280, 127679, 10839, 38, 0, 0]"
2.3899999999999926,"[3, 0, 1500, 69908, 135100, 12357, 60, 1529, 1518, 1, 1500, 68390, 133189, 11961, 57, 74, 74, 2, 1500, 68316, 133096, 11942, 57, 4, 4, 3, 1500, 68312, 133091, 11941, 57, 0, 0]"
2.3999999999999924,"[3, 0, 1500, 69696, 133294, 11777, 54, 1585, 1578, 1, 1500, 68118, 131330, 11387, 50, 83, 83, 2, 1500, 68035, 131225, 11364, 49, 2, 2, 3, 1500, 68033, 131223, 11364, 49, 0, 0]"
2.409999999999992,"[3, 0, 1500, 70142, 136228, 12051, 56, 1458, 1452, 1, 1500, 68690, 134395, 11669, 55, 69, 69, 2, 1500, 68621, 134319, 11662, 55, 5, 5, 3, 1500, 68616, 134310, 11658, 55, 0, 0]"
2.419999999999992,"[3, 0, 1500, 70122, 135782, 12421, 61, 1559, 1556, 1, 1500, 68566, 133820, 12012, 58, 69, 69, 2, 1500, 68497, 133733, 11993, 57, 4, 4, 3, 1500, 68493, 133726, 11990, 57, 0, 0]"
2.4299999999999917,"[5, 0, 1500, 70864, 140488, 13325, 66, 1434, 1430, 1, 1500, 69434, 138677, 12941, 63, 64, 64, 2, 1500, 69370, 138590, 12918, 63, 4, 4, 3, 1500, 69366, 138582, 12914, 63, 1, 1, 4, 1500, 69365, 138581, 12914, 63, 1, 1, 5, 1500, 69364, 138580, 12914, 63, 0, 0]"
2.4399999999999915,"[3, 0, 1500, 71211, 142884, 13659, 53, 1285, 1281, 1, 1500, 69930, 141261, 13314, 50, 56, 56, 2, 1500, 69874, 141197, 13306, 50, 1, 1, 3, 1500, 69873, 141196, 13306, 50, 0, 0]"
2.4499999999999913,"[3, 0, 1500, 71294, 143026, 13516, 57, 1361, 1357, 1, 1500, 69937, 141285, 13129, 54, 61, 61, 2, 1500, 69876, 141212, 13117, 54, 2, 2, 3, 1500, 69874, 141209, 13116, 54, 0, 0]"
2.459999999999991,"[3, 0, 1500, 71297, 143428, 13648, 75, 1295, 1292, 1, 1500, 70005, 141746, 13257, 74, 53, 53, 2, 1500, 69952, 141682, 13246, 74, 1, 1, 3, 1500, 69951, 141681, 13246, 74, 0, 0]"
2.469999999999991,"[3, 0, 1500, 71834, 145839, 14123, 61, 1246, 1237, 1, 1500, 70597, 144269, 13787, 58, 48, 48, 2, 1500, 70549, 144215, 13781, 58, 2, 2, 3, 1500, 70547, 144212, 13780, 58, 0, 0]"
2.4799999999999907,"[4, 0, 1500, 71991, 147986, 14749, 95, 1242, 1241, 1, 1500, 70750, 146402, 14404, 93, 46, 46, 2, 1500, 70704, 146346, 14394, 93, 3, 3, 3, 1500, 70701, 146343, 14394, 93, 1, 1, 4, 1500, 70700, 146342, 14394, 93, 0, 0]"
2.4899999999999904,"[3, 0, 1500, 72272, 148904, 14905, 72, 1191, 1186, 1, 1500, 71086, 147389, 14573, 69, 41, 41, 2, 1500, 71045, 147343, 14568, 69, 2, 2, 3, 1500, 71043, 147341, 14568, 69, 0, 0]"
2.4999999999999902,"[2, 0, 1500, 72550, 151344, 15214, 93, 1103, 1100, 1, 1500, 71450, 149924, 14891, 90, 42, 42, 2, 1500, 71408, 149866, 14874, 89, 0, 0]"
