c,"maxiter, (maxiter +1)* [itr, n, m, tri, tet, K5, D, E]"
1.3800000000000003,"[10, 0, 1500, 40084, 25529, 451, 0, 11737, 9995, 1, 1500, 30089, 15227, 144, 0, 5899, 5148, 2, 1500, 24941, 10007, 72, 0, 4090, 3505, 3, 1500, 21436, 6462, 32, 0, 3186, 2634, 4, 1500, 18802, 3806, 10, 0, 2403, 1883, 5, 1500, 16919, 1918, 5, 0, 1584, 1144, 6, 1500, 15775, 770, 1, 0, 832, 544, 7, 1500, 15231, 225, 0, 0, 303, 172, 8, 1500, 15059, 53, 0, 0, 59, 28, 9, 1500, 15031, 25, 0, 0, 3, 1, 10, 1500, 15030, 24, 0, 0, 0, 0]"
1.3900000000000003,"[10, 0, 1500, 40302, 25887, 443, 0, 11659, 9960, 1, 1500, 30342, 15626, 142, 0, 5874, 5104, 2, 1500, 25238, 10444, 64, 0, 4061, 3507, 3, 1500, 21731, 6900, 27, 0, 3101, 2617, 4, 1500, 19114, 4268, 12, 0, 2436, 1926, 5, 1500, 17188, 2332, 2, 0, 1720, 1285, 6, 1500, 15903, 1047, 2, 0, 1052, 731, 7, 1500, 15172, 314, 0, 0, 408, 244, 8, 1500, 14928, 70, 0, 0, 96, 54, 9, 1500, 14874, 16, 0, 0, 11, 6, 10, 1500, 14868, 10, 0, 0, 0, 0]"
1.4000000000000004,"[10, 0, 1500, 40652, 26699, 495, 1, 11699, 10043, 1, 1500, 30609, 16320, 158, 0, 5820, 5109, 2, 1500, 25500, 11131, 78, 0, 3981, 3442, 3, 1500, 22058, 7645, 34, 0, 3120, 2657, 4, 1500, 19401, 4976, 22, 0, 2432, 1985, 5, 1500, 17416, 2977, 8, 0, 1834, 1434, 6, 1500, 15982, 1535, 0, 0, 1297, 935, 7, 1500, 15047, 600, 0, 0, 716, 464, 8, 1500, 14583, 136, 0, 0, 252, 129, 9, 1500, 14454, 7, 0, 0, 17, 7, 10, 1500, 14447, 0, 0, 0, 0, 0]"
1.4100000000000004,"[10, 0, 1500, 40861, 26772, 488, 0, 11785, 10104, 1, 1500, 30757, 16363, 183, 0, 5876, 5169, 2, 1500, 25588, 11098, 87, 0, 4042, 3491, 3, 1500, 22097, 7553, 33, 0, 3189, 2700, 4, 1500, 19397, 4835, 15, 0, 2524, 2023, 5, 1500, 17374, 2801, 4, 0, 1848, 1435, 6, 1500, 15939, 1363, 1, 0, 1218, 860, 7, 1500, 15079, 502, 0, 0, 617, 392, 8, 1500, 14687, 110, 0, 0, 182, 94, 9, 1500, 14593, 16, 0, 0, 22, 8, 10, 1500, 14585, 8, 0, 0, 0, 0]"
1.4200000000000004,"[13, 0, 1500, 41311, 27769, 491, 0, 11389, 9909, 1, 1500, 31402, 17565, 196, 0, 5671, 5028, 2, 1500, 26374, 12436, 95, 0, 3875, 3443, 3, 1500, 22931, 8943, 45, 0, 3043, 2648, 4, 1500, 20283, 6270, 20, 0, 2525, 2153, 5, 1500, 18130, 4108, 11, 0, 2103, 1713, 6, 1500, 16417, 2387, 3, 0, 1600, 1233, 7, 1500, 15184, 1151, 0, 0, 1026, 720, 8, 1500, 14464, 431, 0, 0, 509, 317, 9, 1500, 14147, 114, 0, 0, 139, 81, 10, 1500, 14066, 33, 0, 0, 31, 13, 11, 1500, 14053, 20, 0, 0, 4, 3, 12, 1500, 14050, 17, 0, 0, 2, 1, 13, 1500, 14049, 16, 0, 0, 0, 0]"
1.4300000000000004,"[12, 0, 1500, 41571, 28297, 531, 1, 11496, 10018, 1, 1500, 31553, 17950, 201, 0, 5681, 5030, 2, 1500, 26523, 12814, 95, 0, 3977, 3530, 3, 1500, 22993, 9244, 55, 0, 3116, 2727, 4, 1500, 20266, 6489, 27, 0, 2550, 2169, 5, 1500, 18097, 4305, 12, 0, 2064, 1701, 6, 1500, 16396, 2599, 7, 0, 1546, 1216, 7, 1500, 15180, 1379, 3, 0, 1082, 779, 8, 1500, 14401, 597, 0, 0, 601, 408, 9, 1500, 13993, 189, 0, 0, 241, 141, 10, 1500, 13852, 48, 0, 0, 55, 34, 11, 1500, 13818, 14, 0, 0, 14, 6, 12, 1500, 13812, 8, 0, 0, 0, 0]"
1.4400000000000004,"[13, 0, 1500, 41586, 28591, 522, 0, 11391, 9923, 1, 1500, 31663, 18355, 209, 0, 5661, 5073, 2, 1500, 26590, 13182, 109, 0, 3866, 3487, 3, 1500, 23103, 9654, 68, 0, 3113, 2743, 4, 1500, 20360, 6880, 37, 0, 2628, 2222, 5, 1500, 18138, 4638, 17, 0, 2152, 1786, 6, 1500, 16352, 2844, 9, 0, 1717, 1367, 7, 1500, 14985, 1470, 2, 0, 1164, 850, 8, 1500, 14135, 618, 0, 0, 635, 404, 9, 1500, 13731, 214, 0, 0, 215, 131, 10, 1500, 13600, 83, 0, 0, 58, 33, 11, 1500, 13567, 50, 0, 0, 12, 7, 12, 1500, 13560, 43, 0, 0, 2, 1, 13, 1500, 13559, 42, 0, 0, 0, 0]"
1.4500000000000004,"[12, 0, 1500, 42310, 29822, 609, 0, 11432, 9992, 1, 1500, 32318, 19480, 259, 0, 5466, 4924, 2, 1500, 27394, 14451, 154, 0, 3778, 3413, 3, 1500, 23981, 10978, 94, 0, 2939, 2631, 4, 1500, 21350, 8314, 61, 0, 2474, 2210, 5, 1500, 19140, 6083, 40, 0, 2200, 1892, 6, 1500, 17248, 4171, 20, 0, 1855, 1549, 7, 1500, 15699, 2613, 11, 0, 1539, 1201, 8, 1500, 14498, 1405, 4, 0, 1106, 802, 9, 1500, 13696, 599, 0, 0, 607, 400, 10, 1500, 13296, 199, 0, 0, 231, 140, 11, 1500, 13156, 59, 0, 0, 52, 23, 12, 1500, 13133, 36, 0, 0, 0, 0]"
1.4600000000000004,"[13, 0, 1500, 42080, 29747, 606, 0, 11143, 9811, 1, 1500, 32269, 19589, 259, 0, 5493, 4923, 2, 1500, 27346, 14556, 149, 0, 3671, 3369, 3, 1500, 23977, 11111, 73, 0, 2988, 2741, 4, 1500, 21236, 8337, 40, 0, 2551, 2261, 5, 1500, 18975, 6061, 25, 0, 2236, 1918, 6, 1500, 17057, 4130, 12, 0, 1942, 1594, 7, 1500, 15463, 2530, 6, 0, 1471, 1143, 8, 1500, 14320, 1384, 3, 0, 1031, 768, 9, 1500, 13552, 613, 0, 0, 592, 386, 10, 1500, 13166, 227, 0, 0, 248, 152, 11, 1500, 13014, 75, 0, 0, 84, 43, 12, 1500, 12971, 32, 0, 0, 10, 6, 13, 1500, 12965, 26, 0, 0, 0, 0]"
1.4700000000000004,"[13, 0, 1500, 42478, 30255, 587, 0, 11141, 9868, 1, 1500, 32610, 20039, 239, 0, 5481, 4971, 2, 1500, 27639, 14952, 123, 0, 3750, 3405, 3, 1500, 24234, 11504, 80, 0, 2950, 2649, 4, 1500, 21585, 8825, 50, 0, 2491, 2245, 5, 1500, 19340, 6552, 22, 0, 2206, 1929, 6, 1500, 17411, 4612, 11, 0, 1898, 1596, 7, 1500, 15815, 3012, 7, 0, 1563, 1261, 8, 1500, 14554, 1747, 3, 0, 1199, 912, 9, 1500, 13642, 832, 0, 0, 757, 538, 10, 1500, 13104, 294, 0, 0, 359, 220, 11, 1500, 12884, 74, 0, 0, 94, 47, 12, 1500, 12837, 27, 0, 0, 5, 3, 13, 1500, 12834, 24, 0, 0, 0, 0]"
1.4800000000000004,"[18, 0, 1500, 43338, 32302, 681, 0, 11013, 9795, 1, 1500, 33543, 22106, 280, 0, 5167, 4735, 2, 1500, 28808, 17256, 165, 0, 3372, 3135, 3, 1500, 25673, 14064, 108, 0, 2648, 2436, 4, 1500, 23237, 11597, 77, 0, 2171, 2005, 5, 1500, 21232, 9568, 53, 0, 1944, 1794, 6, 1500, 19438, 7762, 41, 0, 1781, 1608, 7, 1500, 17830, 6140, 27, 0, 1678, 1478, 8, 1500, 16352, 4654, 19, 0, 1602, 1369, 9, 1500, 14983, 3277, 11, 0, 1346, 1123, 10, 1500, 13860, 2146, 3, 0, 1156, 926, 11, 1500, 12934, 1218, 1, 0, 881, 650, 12, 1500, 12284, 567, 0, 0, 470, 332, 13, 1500, 11952, 235, 0, 0, 234, 142, 14, 1500, 11810, 93, 0, 0, 58, 33, 15, 1500, 11777, 60, 0, 0, 18, 9, 16, 1500, 11768, 51, 0, 0, 7, 4, 17, 1500, 11764, 47, 0, 0, 3, 1, 18, 1500, 11763, 46, 0, 0, 0, 0]"
1.4900000000000004,"[15, 0, 1500, 43086, 31497, 615, 0, 11062, 9802, 1, 1500, 33284, 21352, 272, 0, 5258, 4767, 2, 1500, 28517, 16476, 163, 0, 3465, 3197, 3, 1500, 25320, 13237, 121, 0, 2710, 2486, 4, 1500, 22834, 10718, 88, 0, 2359, 2114, 5, 1500, 20720, 8572, 56, 0, 2054, 1844, 6, 1500, 18876, 6712, 40, 0, 1822, 1631, 7, 1500, 17245, 5067, 26, 0, 1665, 1433, 8, 1500, 15812, 3621, 13, 0, 1488, 1252, 9, 1500, 14560, 2362, 6, 0, 1237, 982, 10, 1500, 13578, 1375, 1, 0, 927, 688, 11, 1500, 12890, 687, 1, 0, 606, 420, 12, 1500, 12470, 266, 0, 0, 273, 169, 13, 1500, 12301, 97, 0, 0, 94, 58, 14, 1500, 12243, 39, 0, 0, 19, 7, 15, 1500, 12236, 32, 0, 0, 0, 0]"
1.5000000000000004,"[16, 0, 1500, 43253, 32133, 746, 0, 10845, 9651, 1, 1500, 33602, 22055, 319, 0, 5103, 4648, 2, 1500, 28954, 17287, 199, 0, 3362, 3113, 3, 1500, 25841, 14107, 132, 0, 2617, 2416, 4, 1500, 23425, 11657, 98, 0, 2205, 2043, 5, 1500, 21382, 9590, 74, 0, 1951, 1786, 6, 1500, 19596, 7776, 46, 0, 1742, 1581, 7, 1500, 18015, 6171, 22, 0, 1651, 1450, 8, 1500, 16565, 4713, 14, 0, 1523, 1315, 9, 1500, 15250, 3391, 7, 0, 1371, 1169, 10, 1500, 14081, 2219, 4, 0, 1211, 989, 11, 1500, 13092, 1227, 1, 0, 967, 709, 12, 1500, 12383, 517, 0, 0, 592, 371, 13, 1500, 12012, 146, 0, 0, 207, 112, 14, 1500, 11900, 34, 0, 0, 34, 16, 15, 1500, 11884, 18, 0, 0, 4, 2, 16, 1500, 11882, 16, 0, 0, 0, 0]"
