n,"maxiter, (maxiter +1)* [itr, n, m, tri, tet, K5, D, E]"
3700,"[6, 0, 3700, 225060, 300326, 10001, 9, 17748, 17371, 1, 3700, 207689, 281657, 8701, 7, 2877, 2864, 2, 3700, 204825, 278571, 8479, 7, 539, 538, 3, 3700, 204287, 277996, 8442, 7, 108, 108, 4, 3700, 204179, 277881, 8435, 7, 25, 25, 5, 3700, 204154, 277855, 8434, 7, 8, 8, 6, 3700, 204146, 277846, 8433, 7, 0, 0]"
3800,"[8, 0, 3800, 233907, 311032, 9973, 11, 18483, 18111, 1, 3800, 215796, 291537, 8586, 8, 3110, 3098, 2, 3800, 212698, 288216, 8363, 8, 581, 581, 3, 3800, 212117, 287603, 8331, 8, 103, 103, 4, 3800, 212014, 287496, 8327, 8, 25, 25, 5, 3800, 211989, 287470, 8326, 8, 5, 5, 6, 3800, 211984, 287465, 8326, 8, 2, 2, 7, 3800, 211982, 287463, 8326, 8, 1, 1, 8, 3800, 211981, 287462, 8326, 8, 0, 0]"
3900,"[6, 0, 3900, 243696, 326367, 10633, 14, 19080, 18707, 1, 3900, 224989, 306227, 9198, 12, 3125, 3111, 2, 3900, 221878, 302935, 9017, 12, 624, 624, 3, 3900, 221254, 302264, 8970, 12, 130, 130, 4, 3900, 221124, 302125, 8961, 12, 22, 22, 5, 3900, 221102, 302101, 8959, 12, 5, 5, 6, 3900, 221097, 302096, 8959, 12, 0, 0]"
4000,"[6, 0, 4000, 252938, 336642, 10413, 13, 19783, 19395, 1, 4000, 233543, 315872, 9036, 11, 3243, 3227, 2, 4000, 230316, 312457, 8848, 11, 617, 615, 3, 4000, 229701, 311799, 8805, 11, 125, 125, 4, 4000, 229576, 311665, 8796, 11, 23, 23, 5, 4000, 229553, 311640, 8794, 11, 3, 3, 6, 4000, 229550, 311637, 8794, 11, 0, 0]"
4100,"[6, 0, 4100, 262837, 351705, 10911, 6, 20112, 19746, 1, 4100, 243091, 330602, 9552, 4, 3274, 3268, 2, 4100, 239823, 327110, 9327, 3, 630, 629, 3, 4100, 239194, 326444, 9290, 3, 140, 140, 4, 4100, 239054, 326298, 9284, 3, 24, 24, 5, 4100, 239030, 326272, 9282, 3, 2, 2, 6, 4100, 239028, 326270, 9282, 3, 0, 0]"
4200,"[7, 0, 4200, 272805, 365576, 11303, 13, 21068, 20659, 1, 4200, 252146, 343476, 9859, 10, 3488, 3472, 2, 4200, 248674, 339762, 9616, 9, 686, 686, 3, 4200, 247988, 339043, 9583, 9, 142, 142, 4, 4200, 247846, 338896, 9578, 9, 23, 23, 5, 4200, 247823, 338873, 9578, 9, 5, 5, 6, 4200, 247818, 338868, 9578, 9, 2, 2, 7, 4200, 247816, 338866, 9578, 9, 0, 0]"
4300,"[6, 0, 4300, 282309, 377744, 11755, 2, 21918, 21517, 1, 4300, 260792, 354729, 10257, 2, 3548, 3533, 2, 4300, 257259, 350976, 10037, 2, 676, 675, 3, 4300, 256584, 350252, 9988, 2, 156, 156, 4, 4300, 256428, 350089, 9981, 2, 29, 29, 5, 4300, 256399, 350059, 9980, 2, 4, 4, 6, 4300, 256395, 350054, 9979, 2, 0, 0]"
4400,"[6, 0, 4400, 291671, 389552, 11828, 5, 22552, 22116, 1, 4400, 269555, 365870, 10261, 4, 3724, 3706, 2, 4400, 265849, 361944, 10041, 4, 733, 731, 3, 4400, 265118, 361169, 9997, 4, 150, 150, 4, 4400, 264968, 361012, 9990, 4, 34, 34, 5, 4400, 264934, 360975, 9987, 4, 3, 3, 6, 4400, 264931, 360972, 9987, 4, 0, 0]"
4500,"[6, 0, 4500, 301356, 400729, 11867, 9, 23739, 23258, 1, 4500, 278098, 375926, 10319, 6, 3949, 3937, 2, 4500, 274161, 371753, 10083, 6, 749, 746, 3, 4500, 273415, 370958, 10034, 6, 139, 139, 4, 4500, 273276, 370810, 10025, 6, 27, 27, 5, 4500, 273249, 370782, 10024, 6, 4, 4, 6, 4500, 273245, 370777, 10023, 6, 0, 0]"
4600,"[9, 0, 4600, 311494, 413755, 11991, 12, 24503, 23998, 1, 4600, 287496, 388173, 10402, 7, 3967, 3955, 2, 4600, 283541, 383990, 10173, 6, 730, 730, 3, 4600, 282811, 383225, 10138, 6, 167, 167, 4, 4600, 282644, 383048, 10128, 6, 44, 44, 5, 4600, 282600, 383003, 10127, 6, 9, 9, 6, 4600, 282591, 382993, 10126, 6, 2, 2, 7, 4600, 282589, 382991, 10126, 6, 2, 2, 8, 4600, 282587, 382989, 10126, 6, 2, 2, 9, 4600, 282585, 382987, 10126, 6, 0, 0]"
4700,"[8, 0, 4700, 322176, 430291, 12449, 5, 25133, 24632, 1, 4700, 297544, 404019, 10809, 5, 4039, 4026, 2, 4700, 293518, 399766, 10582, 5, 755, 753, 3, 4700, 292765, 398971, 10540, 5, 161, 161, 4, 4700, 292604, 398803, 10533, 5, 27, 27, 5, 4700, 292577, 398774, 10531, 5, 5, 5, 6, 4700, 292572, 398769, 10531, 5, 1, 1, 7, 4700, 292571, 398768, 10531, 5, 1, 1, 8, 4700, 292570, 398767, 10531, 5, 0, 0]"
4800,"[8, 0, 4800, 332848, 445602, 12871, 7, 25670, 25181, 1, 4800, 307667, 418797, 11247, 7, 4190, 4172, 2, 4800, 303495, 414393, 11015, 7, 775, 774, 3, 4800, 302721, 413569, 10965, 7, 151, 151, 4, 4800, 302570, 413404, 10951, 7, 19, 19, 5, 4800, 302551, 413384, 10950, 7, 7, 7, 6, 4800, 302544, 413376, 10949, 7, 2, 2, 7, 4800, 302542, 413374, 10949, 7, 1, 1, 8, 4800, 302541, 413373, 10949, 7, 0, 0]"
4900,"[8, 0, 4900, 342095, 454170, 12930, 5, 26969, 26404, 1, 4900, 315691, 426097, 11258, 2, 4466, 4441, 2, 4900, 311250, 421403, 11004, 1, 827, 825, 3, 4900, 310425, 420529, 10955, 1, 167, 167, 4, 4900, 310258, 420354, 10947, 1, 51, 51, 5, 4900, 310207, 420301, 10945, 1, 11, 11, 6, 4900, 310196, 420290, 10945, 1, 4, 4, 7, 4900, 310192, 420286, 10945, 1, 1, 1, 8, 4900, 310191, 420285, 10945, 1, 0, 0]"
5000,"[6, 0, 5000, 353069, 469257, 13326, 9, 27772, 27205, 1, 5000, 325864, 440346, 11619, 8, 4655, 4631, 2, 5000, 321233, 435451, 11354, 7, 925, 923, 3, 5000, 320310, 434474, 11300, 7, 168, 168, 4, 5000, 320142, 434301, 11295, 7, 45, 45, 5, 5000, 320097, 434254, 11293, 7, 13, 13, 6, 5000, 320084, 434239, 11291, 7, 0, 0]"
